   # 1:time (constant)	2:frequency	3:filter1 (low)	4:filter2	5:filter3   6:filter4	7:filter5	8:filter6	9:filter7	10:filter8	11:filter9  12:filter10 (middle)	13:filter11	14:filter12	15:filter13	16:filter14 (high)
   5.0000000e-01   6.1000000e+01   3.5943117e-02   2.9127013e-03   4.7988069e-04   1.2688558e-04   4.6169730e-05   2.0949940e-05   1.1111803e-05   6.5960865e-06   4.2529919e-06   2.9159874e-06   2.0929442e-06   1.5536580e-06   1.1810899e-06   9.1154934e-07
   5.0000000e-01   6.2000000e+01   3.9581484e-02   3.1249798e-03   5.0541226e-04   1.3187354e-04   4.7518437e-05   2.1407110e-05   1.1294261e-05   6.6783553e-06   4.2937320e-06   2.9377060e-06   2.1052272e-06   1.5609473e-06   1.1855911e-06   9.1442252e-07
   5.0000000e-01   6.3000000e+01   4.3609396e-02   3.3538538e-03   5.3242892e-04   1.3708704e-04   4.8916607e-05   2.1878409e-05   1.1481633e-05   6.7626102e-06   4.3353744e-06   2.9598741e-06   2.1177516e-06   1.5683742e-06   1.1901745e-06   9.1734689e-07
   5.0000000e-01   6.4000000e+01   4.8070739e-02   3.6007283e-03   5.6102406e-04   1.4253686e-04   5.0366076e-05   2.2364250e-05   1.1674031e-05   6.8488868e-06   4.3779319e-06   2.9824969e-06   2.1305193e-06   1.5759394e-06   1.1948406e-06   9.2032269e-07
   5.0000000e-01   6.5000000e+01   5.3014489e-02   3.8671359e-03   5.9129750e-04   1.4823440e-04   5.1868761e-05   2.2865059e-05   1.1871573e-05   6.9372221e-06   4.4214176e-06   3.0055795e-06   2.1435327e-06   1.5836440e-06   1.1995898e-06   9.2335013e-07
   5.0000000e-01   6.6000000e+01   5.8495299e-02   4.1547501e-03   6.2335598e-04   1.5419163e-04   5.3426663e-05   2.3381276e-05   1.2074376e-05   7.0276539e-06   4.4658450e-06   3.0291272e-06   2.1567938e-06   1.5914890e-06   1.2044226e-06   9.2642946e-07
   5.0000000e-01   6.7000000e+01   6.4574149e-02   4.4653985e-03   6.5731361e-04   1.6042120e-04   5.5041866e-05   2.3913359e-05   1.2282565e-05   7.1202209e-06   4.5112279e-06   3.0531453e-06   2.1703050e-06   1.5994754e-06   1.2093395e-06   9.2956089e-07
   5.0000000e-01   6.8000000e+01   7.1319064e-02   4.8010783e-03   6.9329250e-04   1.6693643e-04   5.6716545e-05   2.4461781e-05   1.2496266e-05   7.2149630e-06   4.5575804e-06   3.0776394e-06   2.1840685e-06   1.6076042e-06   1.2143409e-06   9.3274468e-07
   5.0000000e-01   6.9000000e+01   7.8805908e-02   5.1639727e-03   7.3142332e-04   1.7375135e-04   5.8452972e-05   2.5027032e-05   1.2715610e-05   7.3119211e-06   4.6049169e-06   3.1026151e-06   2.1980868e-06   1.6158764e-06   1.2194274e-06   9.3598106e-07
   5.0000000e-01   7.0000000e+01   8.7119252e-02   5.5564693e-03   7.7184592e-04   1.8088076e-04   6.0253513e-05   2.5609621e-05   1.2940732e-05   7.4111373e-06   4.6532522e-06   3.1280780e-06   2.2123622e-06   1.6242932e-06   1.2245995e-06   9.3927029e-07
   5.0000000e-01   7.1000000e+01   9.6353333e-02   5.9811809e-03   8.1471007e-04   1.8834027e-04   6.2120641e-05   2.6210073e-05   1.3171771e-05   7.5126544e-06   4.7026015e-06   3.1540341e-06   2.2268971e-06   1.6328557e-06   1.2298576e-06   9.4261261e-07
   5.0000000e-01   7.2000000e+01   1.0661309e-01   6.4409672e-03   8.6017622e-04   1.9614636e-04   6.4056935e-05   2.6828932e-05   1.3408870e-05   7.6165169e-06   4.7529802e-06   3.1804894e-06   2.2416942e-06   1.6415649e-06   1.2352023e-06   9.4600828e-07
   5.0000000e-01   7.3000000e+01   1.1801532e-01   6.9389605e-03   9.0841625e-04   2.0431639e-04   6.6065087e-05   2.7466764e-05   1.3652176e-05   7.7227700e-06   4.8044042e-06   3.2074500e-06   2.2567559e-06   1.6504220e-06   1.2406342e-06   9.4945756e-07
   5.0000000e-01   7.4000000e+01   1.3068985e-01   7.4785924e-03   9.5961445e-04   2.1286869e-04   6.8147907e-05   2.8124152e-05   1.3901841e-05   7.8314604e-06   4.8568898e-06   3.2349220e-06   2.2720849e-06   1.6594281e-06   1.2461537e-06   9.5296071e-07
   5.0000000e-01   7.5000000e+01   1.4478093e-01   8.0636243e-03   1.0139684e-03   2.2182262e-04   7.0308327e-05   2.8801703e-05   1.4158021e-05   7.9426357e-06   4.9104535e-06   3.2629120e-06   2.2876837e-06   1.6685845e-06   1.2517615e-06   9.5651801e-07
   5.0000000e-01   7.6000000e+01   1.6044858e-01   8.6981812e-03   1.0716899e-03   2.3119859e-04   7.2549412e-05   2.9500044e-05   1.4420878e-05   8.0563452e-06   4.9651122e-06   3.2914263e-06   2.3035551e-06   1.6778923e-06   1.2574580e-06   9.6012973e-07
   5.0000000e-01   7.7000000e+01   1.7787011e-01   9.3867882e-03   1.1330065e-03   2.4101818e-04   7.4874360e-05   3.0219825e-05   1.4690578e-05   8.1726389e-06   5.0208834e-06   3.3204716e-06   2.3197018e-06   1.6873527e-06   1.2632439e-06   9.6379613e-07
   5.0000000e-01   7.8000000e+01   1.9724169e-01   1.0134412e-02   1.1981622e-03   2.5130416e-04   7.7286510e-05   3.0961719e-05   1.4967292e-05   8.2915687e-06   5.0777848e-06   3.3500547e-06   2.3361267e-06   1.6969669e-06   1.2691197e-06   9.6751752e-07
   5.0000000e-01   7.9000000e+01   2.1877996e-01   1.0946506e-02   1.2674191e-03   2.6208059e-04   7.9789351e-05   3.1726424e-05   1.5251196e-05   8.4131873e-06   5.1358346e-06   3.3801825e-06   2.3528325e-06   1.7067363e-06   1.2750860e-06   9.7129416e-07
   5.0000000e-01   8.0000000e+01   2.4272369e-01   1.1829060e-02   1.3410586e-03   2.7337289e-04   8.2386528e-05   3.2514663e-05   1.5542471e-05   8.5375492e-06   5.1950513e-06   3.4108620e-06   2.3698223e-06   1.7166621e-06   1.2811434e-06   9.7512636e-07
   5.0000000e-01   8.1000000e+01   2.6933544e-01   1.2788656e-02   1.4193831e-03   2.8520793e-04   8.5081846e-05   3.3327186e-05   1.5841306e-05   8.6647101e-06   5.2554540e-06   3.4421005e-06   2.3870989e-06   1.7267457e-06   1.2872926e-06   9.7901441e-07
   5.0000000e-01   8.2000000e+01   2.9890317e-01   1.3832530e-02   1.5027178e-03   2.9761411e-04   8.7879285e-05   3.4164770e-05   1.6147891e-05   8.7947271e-06   5.3170621e-06   3.4739053e-06   2.4046654e-06   1.7369882e-06   1.2935340e-06   9.8295860e-07
   5.0000000e-01   8.3000000e+01   3.3174178e-01   1.4968641e-02   1.5914121e-03   3.1062145e-04   9.0783001e-05   3.5028218e-05   1.6462427e-05   8.9276590e-06   5.3798954e-06   3.5062838e-06   2.4225248e-06   1.7473912e-06   1.2998685e-06   9.8695924e-07
   5.0000000e-01   8.4000000e+01   3.6819447e-01   1.6205741e-02   1.6858421e-03   3.2426171e-04   9.3797339e-05   3.5918366e-05   1.6785117e-05   9.0635659e-06   5.4439744e-06   3.5392438e-06   2.4406804e-06   1.7579559e-06   1.3062965e-06   9.9101665e-07
   5.0000000e-01   8.5000000e+01   4.0863386e-01   1.7553466e-02   1.7864123e-03   3.3856848e-04   9.6926839e-05   3.6836079e-05   1.7116173e-05   9.2025095e-06   5.5093197e-06   3.5727930e-06   2.4591351e-06   1.7686838e-06   1.3128187e-06   9.9513113e-07
   5.0000000e-01   8.6000000e+01   4.5346271e-01   1.9022421e-02   1.8935581e-03   3.5357729e-04   1.0017625e-04   3.7782252e-05   1.7455812e-05   9.3445531e-06   5.5759526e-06   3.6069394e-06   2.4778924e-06   1.7795762e-06   1.3194359e-06   9.9930300e-07
   5.0000000e-01   8.7000000e+01   5.0311425e-01   2.0624287e-02   2.0077484e-03   3.6932576e-04   1.0355054e-04   3.8757816e-05   1.7804257e-05   9.4897618e-06   5.6438949e-06   3.6416910e-06   2.4969555e-06   1.7906347e-06   1.3261486e-06   1.0035326e-06
   5.0000000e-01   8.8000000e+01   5.5805183e-01   2.2371929e-02   2.1294884e-03   3.8585369e-04   1.0705489e-04   3.9763733e-05   1.8161739e-05   9.6382022e-06   5.7131687e-06   3.6770562e-06   2.5163278e-06   1.8018607e-06   1.3329576e-06   1.0078202e-06
   5.0000000e-01   8.9000000e+01   6.1876773e-01   2.4279526e-02   2.2593223e-03   4.0320324e-04   1.1069474e-04   4.0801004e-05   1.8528497e-05   9.7899426e-06   5.7837968e-06   3.7130433e-06   2.5360126e-06   1.8132556e-06   1.3398635e-06   1.0121662e-06
   5.0000000e-01   9.0000000e+01   6.8578104e-01   2.6362703e-02   2.3978368e-03   4.2141905e-04   1.1447576e-04   4.1870664e-05   1.8904774e-05   9.9450532e-06   5.8558024e-06   3.7496611e-06   2.5560136e-06   1.8248210e-06   1.3468670e-06   1.0165709e-06
   5.0000000e-01   9.1000000e+01   7.5963428e-01   2.8638688e-02   2.5456647e-03   4.4054840e-04   1.1840390e-04   4.2973789e-05   1.9290823e-05   1.0103606e-05   5.9292092e-06   3.7869182e-06   2.5763341e-06   1.8365584e-06   1.3539688e-06   1.0210347e-06
   5.0000000e-01   9.2000000e+01   8.4088851e-01   3.1126478e-02   2.7034885e-03   4.6064140e-04   1.2248537e-04   4.4111492e-05   1.9686906e-05   1.0265674e-05   6.0040415e-06   3.8248236e-06   2.5969779e-06   1.8484694e-06   1.3611697e-06   1.0255578e-06
   5.0000000e-01   9.3000000e+01   9.3011680e-01   3.3847026e-02   2.8720447e-03   4.8175115e-04   1.2672668e-04   4.5284929e-05   2.0093288e-05   1.0431335e-05   6.0803240e-06   3.8633864e-06   2.6179486e-06   1.8605556e-06   1.3684703e-06   1.0301408e-06
