# long, lat, r, g, b
-150.171,88.9714,121,168,206
-149.143,88.9714,121,168,206
-148.114,88.9714,121,168,206
-147.086,88.9714,121,168,206
-146.057,88.9714,121,168,206
-145.029,88.9714,121,168,206
-144,88.9714,121,168,206
-142.971,88.9714,121,168,206
-141.943,88.9714,121,168,206
-140.914,88.9714,121,168,206
-139.886,88.9714,121,168,206
-138.857,88.9714,121,168,206
-137.829,88.9714,122,168,206
-136.8,88.9714,121,168,206
-135.771,88.9714,121,168,207
-134.743,88.9714,122,168,207
-133.714,88.9714,122,169,207
-132.686,88.9714,122,169,207
-131.657,88.9714,123,169,207
-130.629,88.9714,123,169,207
-129.6,88.9714,123,169,207
-128.571,88.9714,123,169,207
-127.543,88.9714,123,169,207
-126.514,88.9714,123,169,207
-125.486,88.9714,123,169,207
-124.457,88.9714,123,170,207
-123.429,88.9714,124,170,207
-122.4,88.9714,124,170,207
-121.371,88.9714,124,170,207
-120.343,88.9714,124,170,207
-119.314,88.9714,125,170,207
-118.286,88.9714,125,170,208
-117.257,88.9714,125,170,208
-116.229,88.9714,125,170,208
-115.2,88.9714,125,170,207
-114.171,88.9714,125,170,207
-113.143,88.9714,125,170,208
-112.114,88.9714,125,170,208
-111.086,88.9714,125,170,208
-110.057,88.9714,126,171,208
-109.029,88.9714,126,171,208
-108,88.9714,126,171,208
-106.971,88.9714,127,171,208
-105.943,88.9714,127,171,208
-104.914,88.9714,127,171,208
-103.886,88.9714,127,171,208
-102.857,88.9714,127,171,208
-101.829,88.9714,127,172,209
-100.8,88.9714,127,172,209
-99.7714,88.9714,127,172,209
-98.7429,88.9714,127,172,209
-97.7143,88.9714,128,172,209
-96.6857,88.9714,128,172,209
-95.6571,88.9714,128,172,209
-94.6286,88.9714,128,172,209
-93.6,88.9714,128,173,209
-92.5714,88.9714,129,173,209
-91.5429,88.9714,129,173,210
-90.5143,88.9714,129,173,210
-89.4857,88.9714,129,174,210
-88.4571,88.9714,129,174,210
-87.4286,88.9714,129,174,210
-86.4,88.9714,129,174,210
-85.3714,88.9714,129,174,210
